Joke,Rating,Ratings_Cleaned
"One Saturday evening, a certain minister decided that he did not want to preach the following morning but go play a relaxing round of golf instead.  He called his assistant minister and told him that he was feeling under the weather and would not be in service.  He then called to set a tee time at a course that was a fairly long distance away from his church so as to not be ""caught"" by anyone who would recognize him.
     Meanwhile in heaven, St. Peter was looking down in disgust and questioned God, ""Do you see this?  What are you going to do about this?""  God just smiled.
     The next morning upon arrival at the clubhouse, he is contented to find that he is but the only person who will be on the course. Peter is still fuming and anxiously anticipating God judgment.
     After walking a while to the first hole, he takes note of the layout: a 420-yard par 4.  He casually grabs his driver and sets. POW!!! Perfect hit...the ball sails all the way to the green and in the hole for a hole in one!
     Peter throws a fit of rage at God.  ""DO YOU KNOW WHAT YOU'RE DOING?  WHAT WAS THAT ALL ABOUT?""
     God just smiles back and says, ""Who's he going to tell?""","Ranking: 
3.38 / 45",3.38
"A Preacher, a Priest and a Rabbi are playing golf and discussing the various ways they work out the split of the collection plates. 
The Pastor says, ""At our church, we draw a 3 foot wide circle on the ground and throw the money straight up and whatever lands outside the circle, I keep and the rest goes to God"".
The Priest, thinking himself a little more pious, says, ""We use a one foot wide circle, we also throw the money and whatever lands inside the circle goes to me and the rest goes to our Father up in Heaven. 
Then, they both look at the Rabbi. The Rabbi says, ""Alright, already! We in the Synagogue are a little different; we never got as fancy-chancy as you, with the circle thing. However, we do throw the money high up in the air and whatever God wants; . . . he keeps"".","Ranking: 
3.36 / 42",3.36
"After receiving the bad news from a visit to the doctor that he had only a year to live, this fellow was seeking advice from his pastor on what to do. In response the pastor replied, First I find a 1960 mobile home without air conditioning in the middle of a swamp in south Georgia, next I would buy a 1962 Dodge pickup with 178,000 miles on it, last I would find the meanest, bossiest swamp woman I could find and marry her. Frankly ask the sick man "" How will this extend the last year of my life?""Well it won't extend your life, replied the pastor."" It will just seem like eternity","Ranking: 
2.65 / 111",2.65
"A priest and a taxi driver die and go to heaven. St. peter led the priest to a little hut in the corner of heaven. Then he led the taxi driver to a huge mansion where everyone could admire it. One day, the priest asked St. Peter,"" If I am a priest and he is a taxi driver, how come he gets a much larger house than me?"" St. Peter replied,"" When you preached about Jesus, people slept.  When the taxi driver drove people around, they prayed.""","Ranking: 
3.92 / 24",3.92
"A lady with a hearing problem goes to confession. The priest asked her to speak more quietly, since everyone in the church could hear her and even suggested for her to write down what she had to say in advance.  At her next confession, she knelt and handed a piece of paper to the priest.  He looked at it and said, What is this It looks like a grocery list. Mother of God! said the lady.  I must have left my sins at the Market!","Ranking: 
2.90 / 69",2.90
"There was a small church in the community, having some serious money problems.  Every fund in the church was short.  One Sunday, the pastor made an impassioned plea from the pulpit for donations to several worthy causes. 

The following Saturday night, to his mother's delight, little Johnny took his piggy bank down from his dresser, and told his mother he was taking the entire piggy bank to church the next day.  Little Johnny's mother felt that she would surely be looked upon as a pillar of the church if her son was going to donate everything he had.

The following morning, the family went to church.  Little Johnny kept the piggy bank on his lap.  The pastor again made an impassioned plea from the pulpit.  ""Who will help us?"" he asked.  Little Johnny's mother nudged him, but he said, ""No, Mom, it's not time yet.""  The mother figured he was waiting to hand in the piggy bank with the offering.  When the offering plate went by, Little Johnny held on to his piggy bank.  His mother nudged him, but he said, ""It's not time yet, Mom.""

After the service, as everyone was filing out of the church and shaking the pastor's hand, it was finally Little Johnny's family's turn.  Little Johnny handed the piggy bank to the pastor, who said, ""Johnny -- what is this for?  Which worthy cause do you wish to give this to?""

Little Johnny said, in a loud voice, ""Oh, Pastor, it's for YOU!  Last Sunday after church, my mom said you were the poorest pastor we've ever had!!""","Ranking: 
4.22 / 18",4.22
"A very devout woman, who recently had learned how to drive, always started her trip with a prayer: Lord, guide my hands to steer this car.  However, one day she found herself in a terrifying situation, with a car speeding up behind her, another coming rapidly at her from a road on the left.  She did not know what to do, and so she threw her hands in the air and cried, Lord, take the wheel.""","Ranking: 
2.48 / 136",2.48
"A priest was walking along the corridor of the parochial school near the preschool wing when a group of little ones were trotting by on the way to the cafeteria. Little Johnny stopped and looked at him in his clerical clothes and asked, ""Why do you dress funny?"" 
He told him he was a priest and this is the uniform priests wear. 
Little Johnny pointed to the priest's plastic collar tab and asked, ""Do you have an owie?"" 
The priest was perplexed till he realized that to him the collar tab looked like a band-aid. So the priest took it out and handed it to Little Johnny, to show him. On the back of the tab were raised letters giving the name of the manufacturer. 
Little Johnny felt the letters, and the priest asked, ""Do you know what those words say?"" 
""Yes I do,"" said Little Johnny, who was not old enough to read. Peering intently at the letters he said, ""Kills ticks and fleas up to six months!""","Ranking: 
3.63 / 27",3.63
"A new comer was attending the service at the church for the first time and the sermon seemed to go on forever, and many in the congregation actually fell asleep. After the service, to be social, she walked up to a very sleepy looking gentleman, extended her hand in greeting, and said, ""Hello, I'm Gladys Dunn."" 
The man replied, Youre not the only one ma'am. I'm glad it's done too!!!""","Ranking: 
3.71 / 24",3.71
"Three people die, a Doctor a school teacher and the head of a large HMO, when met at the pearly gates by St. Peter he asks the Doctor 'what did you do on Earth?' the Doctor replied, I healed the sick and if they could not pay I would do it for free. St. Peter told the Doctor, 'you may go in.' St. Peter then asked the teacher what she did, she replied, I taught educationally challenged children. St. Peter then told her 'you may go in.' St. Peter asked the third man, 'what did you do?' The man hung his head and replied, 'I ran a large HMO.' To which St. Peter replied, 'you may go in, but you can only stay 3 days.'","Ranking: 
3.11 / 44",3.11
"A young boy had just got his driver's permit and inquired of his father, an evangelist, if they could discuss the use of the car. His father took him to the study and said to the boy, ""I'll make a deal with you, son. You bring your grades up from a C to a B-average, study your Bible a little, and get your hair cut and we'll talk about the car.""
Well, the boy thought about that for a moment and decided that he'd best settle for the offer, and they agreed. After about six weeks the boy came back and again asked his father about the car.
Again, they went to the study where his father said, ""Son, I've been real proud of you. You've brought your grades up, and I've observed that you've been studying your Bible and participating a lot more in the Bible study class on Sunday morning. But I'm real disappointed since you haven't got your hair cut.""
The young man paused a moment and then said, ""You know dad, I've been thinking about that and I've noticed in my studies of the Bible that Samson had long hair, Moses had long hair, John the Baptist had long hair, and there's even strong argument that Jesus himself had long hair.""
To which his father replied, ""You're right, son. Did you also notice that they all WALKED everywhere they went?""","Ranking: 
3.86 / 21",3.86
"A Buddhist monk stops by a hot dog vendor and said: ""Make me one with everything!""  The hot dog vendor handed him the dog and said ""That's $1.25"" The monk handed him 2 dollars and the vendor said ""Thanks!"" and turned to help the next customer. The monk asked ""What about my change?"" The hot dog vendor replied, ""Change comes from within!""","Ranking: 
2.76 / 68",2.76
"A Catholic priest, a Protestant minister, and a Jewish rabbi were discussing when life begins.
""Life begins,"" said the priest, ""at the moment of fertilization. That is when God instills the spark of life into the fetus.""
""We believe,"" said the minister, ""that life begins at birth, because that is when the baby becomes an individual and is capable of making its own decisions and must learn about sin.""
""You're both wrong,"" said the rabbi. ""Life begins when the children have graduated from college and moved out of the house.""","Ranking: 
3.34 / 32",3.34
"St. Peter halted a man at the entrance to heaven. Youve told too many lies to be permitted in here, he said.
Have a heart, replied the man. Remember, you were once a fisherman yourself.""","Ranking: 
3.52 / 25",3.52
"One day Noah was taking a stroll around the deck of the Ark when he came across one of his grandsons fishing off the side. Noah firmly inquired, 'You aren't using worms, are you?'","Ranking: 
2.72 / 60",2.72
"In Sunday school little Johnny learned about how God took a rib from Adam to make Eve.  The next day, Johnny's mother saw him in his bed clutching his side and moaning. 
When his mother asked him what was wrong, he simply replied, ""Mom, I think I'm having a wife.""","Ranking: 
3.23 / 30",3.23
"Mrs. Kelly, the housekeeper was briefing the newly appointed priest on problems in the rectory that required immediate attention.
Your roof needs repair, Father, she said.
Your water pressure is bad and your furnace is not working.
Now, Mrs. Kelly, the priest allowed, youve been the housekeeper here five years, and Ive only been here a few days.  Why not say our roof and our furnace?
Several weeks late, when the pastor was meeting the Bishop and several other priests, Mrs. Kelly burst into the office terribly upset.  Father, Father, she blurted, theres a mouse in our room and its under our bed!","Ranking: 
3.39 / 23",3.39
"A rabbi, a priest and a minister walk into a bar. 
The bartender looks up and says, 'What is this, a joke?'","Ranking: 
2.34 / 92",2.34
"A kid is asked by mom to go out onto the back porch and fetch her a blanket she left out there to dry.  However, the child is terrified of the dark.  So, his mom reassures him that God will protect him.  So, the child opens the door a crack and says, ""God, seeing as you're already out there, could you pass me the blanket?""","Ranking: 
3.61 / 18",3.61
"A young preacher was contacted by the local funeral director to hold a grave-side committal service at a small local cemetery for someone with no family or friends. The preacher started early but quickly got himself lost, making several wrong turns.
He arrived a half-hour late, the hearse was nowhere in sight, and the workmen were eating lunch.
The pastor went to the open grave and found the vault lid already in place. Taking out his book, he read the service.
As he was returning to his car, he overheard one of the workmen say: ""Think we should tell him it's a septic tank?""","Ranking: 
3.24 / 25",3.24
"A lone hiker, as night descended, fell over a cliff.  Luckily, he managed to grab hold of a small branch and stop his fall, but his feet were still hanging over the gulf, and nothing but blackness was below.  He shouted, Is anybody down there?
Yes, replied a great voice. I am down here. Let yourself go.  You can trust me.  I am God
There was a long silence, and then the hiker shouted, Is anybody else down there?","Ranking: 
2.79 / 42",2.79
"A couple meets with the minister of the Church to discuss their marriage vows.
Pastor said Sue; we wonder if we could make a change in the wording of our ceremony.
Yes, Sue, replied the pastor, It is sometimes done.  What do you have in mind?
Well, said Sue; looking at Bob openly, wed like to alter the until death do us part
section to read, Substantial penalty for early withdrawal.","Ranking: 
3.11 / 28",3.11
"One day, a boy climbed a very tall tree. His parents asked him to come down at supper time but he wouldn't come down. His parents called the police. The police asked him to come down but he wouldn't come down. His parents called the firefighters. The firefighters asked him to come down but he wouldn't. The only ladder they had was a step ladder that wasn't big enough. A while later a priest walked by. The boys parents said to themselves, what the heck, lets ask him if he can help us. So the parents ask the priest to help them. The priest decides to help and walks over to the tree. He makes the sign of the cross with his hand and the boy scurries down. The boys parents thank him and say "" Thank you for blessing my child!"". The priest then replies "" I wasn't blessing him, I told him to come down or I'll chop the tree down.""","Ranking: 
2.97 / 32",2.97
"(In the Catholic Church bishops wear black cassocks (robes), cardinals wear scarlet or purple cassocks, and only the Pope wears a white cassock.)

Well, in Oxford, England, the regional assistant bishop met with a group of children
In a small church, and he engaged then in friendly conversation.  He diced to ask them a question to see how much they knew about Catholic practices.  Children, he said,  if a man came into the room dressed like me, but all in white, who would it be?
There was a long silence, and some squirming and embarrassment.  Then a boy raised his hand, Yes? said the bishop.
Oh, I know, sir, said the boy Itd be the school cook.","Ranking: 
3.35 / 20",3.35
"The Friars
    The friars were behind on their belfry payments, so they opened up a small florist shop to raise the funds. Since everyone liked to buy flowers from the men of God, the rival florist nearby thought the competition was unfair.  He asked the good brothers to close down, but they would not. He went back and begged the friars to close. They ignored him. He asked his mother to go and ask the friars to get out of business. They ignored her too. So,the rival florist hired Hugh MacTaggart, the roughest and most vicious thug in town to ""persuade"" them to close. Hugh beat up the friars and trashed their store, saying he'd be back if they didn't close shop. Terrified, they did so-thereby proving that Hugh and only Hugh, can prevent florist friars.","Ranking: 
3.04 / 27",3.04
"There was an Indian, a caveman, and a cowboy. One day they ran out of food and decided to go hunting. The Indian went out and got a bear, the caveman and the cowboy said, how did you get that? He said, Me find tracks me follow tracks me get bear."" So the next day the cowboy went out and got a deer, the caveman said, How did you get that? He said ""Me find tracks me follow tracks me get deer.""  So when the caveman got backs from his hunt all bloody, and disfigured. The Indian and cowboy said, How did that happen?"" The caveman replied, ""Me find tracks, me follow tracks me get hit by train!!""","Ranking: 
3.28 / 276",3.28
"Two dwarfs go into a bar, where they pick up two
prostitutes and take them to their separate hotel rooms.
The first dwarf, however, is unable to get an erection.
His depression is made worse by the fact that,
from the next room, he hears his little friend
shouting out cries of
""Here I come again ...ONE, TWO, THREE...UUH!"" all night long.
In the morning, the second dwarf asks the first, ""How did it go?""
The first mutters, ""It was so embarrassing. I just couldn't get a hard on.""
The second dwarf shook his head. ""You think that's embarrassing?""

I couldn't even get on the f**king bed.""","Ranking: 
3.99 / 86",3.99
"﻿The Birth Of A Candy Bar

One  Payday,  Mr. Good Bar  wanted a  Bit O Honey.  So he
took Miss Hershey behind the Powerhouse, on the corner 
of Clark Street and Fifth Avenue.  He began to feel her 
Mounds and it was pure Almond Joy which made his 
Tootsie Roll.  He let out a Snicker as his Butterfinger 
went up her Kit Kat and caused a Milky Way.
She screamed,  Oh Henry, I am Forever Yours and 
she squeezed his Peter Paul and caressed his  Zagnuts.  
Miss Hershey said, Youre even better than the 
3 Musketeers.  Soon she was a little bit Chunky 
and nine months later she had a  Baby Ruth.","Ranking: 
4.31 / 59",4.31
"A very confident James Bond walks into a bar and takes a seat next to a very attractive woman. He gives her a quick glance, and then casually looks at his watch for a moment. The woman notices this and asks, ""Is your date running late?"" ""No,"" he replies, ""Q has just given me this state-of-the-art watch. I was just testing it."" The intrigued woman says, ""A state-of-the-art watch? What's so special about it?"" Bond explains, ""It uses alpha waves to talk to me telepathically."" The lady says, ""What's it telling you now?"" ""Well, it says you're not wearing any panties."" The woman giggles and replies, ""Well it must be broken because I'm wearing panties!"" Bond smirks, taps his watch and says, ""Bloody thing's an hour fast.""","Ranking: 
4.15 / 61",4.15
"A man joins a very exclusive nudist colony. On his first day there he takes off his clothes and starts to wander around.
 A gorgeous petite blonde walks by, and the man immediately gets an erection.
The woman notices his erection, comes over to him and says, ""Did you call for me?""
The man replies ""No. What do you mean?""
She says, ""You must be new here. Let me explain. It's a rule here that if you get an erection it implies you called for me.""
Smiling, she leads him to the side of the swimming pool, lies down on a towel, eagerly pulls him to her and happily lets him have his way with her.
The man continues to explore the colony's facilities. He enters the sauna and as he sits down, he farts. Within minutes a huge, hairy man lumbers out of the
 steam room toward him. ""Did you call for me?"" says the hairy man
""No. What do you mean? says the newcomer.
""You must be new,"" says the hairy man. ""It's a rule that if you fart, it implies that you called for me.""
The huge man easily spins him around, bends him over a bench and has his way with him.  The newcomer staggers back to the colony office, where the smiling, naked receptionist greets him.  ""May I help you?"" she says.
The man yells, ""Here's my membership card. You can have the key back and you can keep the $500 membership fee.""
 ""But sir,"" she replies, ""you've only been here for a few hours. You havent had the chance to see all our facilities.""
 The man replies, ""Listen lady, I'm 68 years old. I get an erection once a month but I fart 15 times a day! I'm outta here!""","Ranking: 
4.38 / 39",4.38
"A guy goes into a drugstore to buy condoms. ""What size?"" asks the clerk.
""Gee, I dont know."" ""Go see Sophie in aisle 4."" He goes over to see Sophie, who grabs him in the crotch, and yells, ""Medium!"" The guy is mortified! He hurries over to pay and leaves quickly. Another guy comes in to buy condoms, and gets sent to Sophie in aisle 4. Sophie grabs him and yells, ""Large!"" The guy struts over to the register, pays, and leaves. A high school kid comes in to buy condoms.
""What size?"" The kid embarrassedly says, ""Ive never done this before. I dont know what size."" The clerk sends him over to Sophie in aisle 4. 
She grabs him and yells ""Clean up in aisle 4!""","Ranking: 
4.10 / 49",4.10
"A young woman boarded a bus while highly pregnant. She was very conscious about people around her. She noticed a young man looking at her and smiling. She felt humiliated and moved to a different seat, which only broadened the man's smile. She moved again, and on her fourth move he burst out laughing. She complained to the driver, who called the police, and the man was arrested.

When the case came before the court the judge gave the man the opportunity to defend his rude behavior. He explained his action this way: ""When the lady boarded the bus I couldn't help noticing that she was pregnant. She sat under an advertisement, which read 'Coming soon: The Gold Dust Twins', then she moved under one which read 'Sloans' Liniments Remove Swellings'"".

""I was even more amused when she sat under a shaving ad which read: 
'William Stick Did The Trick'. I'm sorry, but I couldn't control myself any longer when, on the fourth move, she sat under an advertisement which read: 'Dunlop Rubber Would Have Prevented this Accident'"".

The judge found him not guilty!!!","Ranking: 
3.96 / 49",3.96
"If you think life is bad now, how would you like to be an egg? You only get laid once. You get eaten once. It takes four minutes to get hard, only two minutes to get soft. You share your box with 11 other guys, but worst of all, the only chick that ever sat on your face was your mom! So cheer up, your life isn't that bad!","Ranking: 
4.00 / 46",4.00
"A woman visits a very posh Persian-rug store.  She spots the perfect rug, walks over to inspect it, and as she bends down to feel the texture, she rips a giant fart.  She looks behind her to see if anybody heard it, and all seems fine, but when she turns back around, theres a salesman standing next her.  She says, Umm, how much does this rug cost?
The salesman says, Lady, if you farted just from touching it, youre gonna shit when you hear the price.","Ranking: 
4.32 / 34",4.32
"Don't interupt people

Little Johnny watched his daddy's car pass by the school playground and
go into the woods. Curious, he followed the car and saw Daddy and Aunt
Jane in a passionate embrace.Little Johnny found this so exciting that
he could not contain himself as he ran home and started to tell his
mother, 
 ""Mommy, I was at the playground and I saw Daddy's car go into
the woods with Aunt Jane. I went back to look and he was giving Aunt
Jane a big kiss, then he helped her take off her shirt. Then Aunt Jane
helped Daddy take his pants off, then Aunt Jane........""

At this point Mommy cut him off and said, ""Johnny, this is such an
interesting story, suppose you save the rest of it for supper time. 
I want to see the look on Daddy's face when you tell it tonight."" !

At the dinner table, Mommy asked little Johnny to tell his story. 

Johnny started his story, 

""I was at the playground and I saw Daddy's car go into the woods 
with Aunt Jane. I went back to look and he was giving
Aunt Jane a big kiss, then he helped her take off her shirt. 

Then Aunt Jane helped Daddy take his pants off, then Aunt Jane 
and Daddy started doing the same thing that Mommy and Uncle Bill 
used to do when Daddy was in the Army.""

Moral of this Story: 

Sometimes you need to listen to the whole story before you interrupt.","Ranking: 
4.56 / 27",4.56
"A guy and a woman were near a swimming pool. The guy was playing with a ball, & the woman was using a lipstick. They both dropped their thing in the swimming pools at the same time. They decided they would go and find them. The woman grabbed the guy's penis, and the guy grabbed the woman's breast. They both thought that they found their stuff.","Ranking: 
2.91 / 148",2.91
"One ovary says to the other ovary, Hey, did you order any furniture?
The other says, No, why?
There are a couple of nuts trying to shove an organ in.","Ranking: 
3.52 / 62",3.52
"Peter put his son to bed and his son started to pray.
Son: Good night mummy, Good night Daddy, Good night Nanny, Goodbye Granddad.
The next day his granddad dropped dead.
 Next night.
Son: Good night Mummy, Good Night Daddy, Goodbye Nanny.
The next day his Nanny dropped dead.
The Next Night.
Son: Good Night Mummy, Goodbye Daddy.
Peter: Oh F***
The next day he wouldn't touch anything, not his computer just in case he got electrocuted, he wouldn't eat his lunch. He wouldn't even touch his pencil. He walked 5 miles to get home and said to his wife.
Peter: Oh honey! I've had a bad day.
Wife: You've had a bad day, the mailman dropped dead!","Ranking: 
4.09 / 32",4.09
"The man enters a drugstore:
- Give me a pack of condoms.
- What size?
- I do not know...
- Well, take this board with holes; go to the toilet and measure.
In 10 minutes the man comes back:
- I have changed my mind I don't need the condoms. How much is this board?","Ranking: 
3.77 / 43",3.77
"Q: What did the hurricane say to the palm tree? 
A: You better hang on to your nuts cuz this ain't no ordinary blowjob.","Ranking: 
3.83 / 40",3.83
"A guy with a speech impediment --- he stutters  gets a job selling books door-to-door. 
On his first day, the sales manager gives him some books and sends him out and a five oclock the salesman returns with all receipts, no books.
The second day, the sales manager loads him up with more books than the firs day and sends him out.  The salesman, returns at five oclock with all the receipts, no books.
This goes on for a few days, and the sales manager calls him in and says, This is truly amazing, In a few days you have sold more books than my top salesman does in a week.  Whats your sales pitch?
W-w-well, says the salesman, I s-s-say, D-d-do, y-y-you w-w-want t-t-to b-b-buy a b-b-b-book or d-d-do y-y-you w-want m-me t-to r-read it t-to y-you?","Ranking: 
4.18 / 28",4.18
"Twin brothers were named Joe and John Jones.  The single brother was the owner of a dilapidated boat. It happened that John's wife died the same day that Joe's boat sank.  A few days later a kindly old lady met Joe on the street and mistaking him for John said, ""Oh, I'm so sorry to hear about your great loss, you must feel terrible."" Then Joe spoke up saying, ""Well, I'm not the least bit worried, she was a rotten old thing from the beginning.  Her bottom was all shriveled up and she smelled like a dead fish.  Even the first time I got into her she made water faster then anything I had ever seen.  She had a bad crack in the back and a pretty big hole in the front.  The hole got bigger every time I used her and she leaked like anything.  But this is what finished her.  Four guys from the other side of town, looking for a good time, asked if I would rent her to them.  I warned them that she wasn't so hot but they said they would take a crack at her anyhow.  The result was the crazy fools all tried to get into her at once.  It was too much for her and she cracked right up in the middle.""  At this point, the old lady fainted...","Ranking: 
4.38 / 24",4.38
"A husband and his wife were driving down the road when a car hit a skunk in front of them, being the humanitarians that they were they stopped picked up the skunk, put him in the back seat because there was a vet right up the rode. They proceeded to the vet when on the way the driver sees police lights in the rear-view mirror, panicking the wife says ""what should I do with the skunk, her husband says ""put it up your skirt,"" his wife questions, but what about the smell?  Her husband replies; pinch his nose shut!!!","Ranking: 
3.97 / 32",3.97
"Q. What did the egg say before he went into boiling water
A. Dont expect me to get hard that fast I just got laid.","Ranking: 
3.88 / 34",3.88
"Story of an Engaged Man

I was a very happy person. My wonderful girlfriend and I had been dating for over a year, and so we decided to get married. There was only one little thing bothering me ... it was her beautiful younger sister. 
My prospective sister-in-law was twenty-two, wore very tight miniskirts, without underwear or a bra. She would regularly bend down when she was near me, and I always got more than a pleasant view. It had to be deliberate. She never did it when she was near anyone else. 
One day ""little"" sister called and asked me to come over to check the wedding invitations. She was alone when I arrived, and she whispered to me that she had feelings and desires for me that she couldn't overcome. She told me that she wanted to make love to me just once before I got married and committed my life to her sister. Well, I was in total shock, and couldn't say a word. She said, ""I'm going upstairs to my bedroom, and if you want one last wild fling, just come up and get me."" 
I was stunned and frozen in shock as I watched her go up the stairs. When she reached the top she pulled off her panties and threw them down the stairs at me. I stood there for a moment, then turned and made a beeline straight to the front door. I opened the door, and headed straight towards my car. 
Lo and behold, my entire future family was standing outside, all clapping! 
With tears in his eyes, my father-in-law hugged me and said, ""we are very happy that you have passed our little test.....we couldn't ask for better man for our daughter. Welcome to our family!!!"" 

And the moral of this story is: Always keep your condoms in your car.","Ranking: 
4.55 / 20",4.55
"Jake and Jim are chatting at the beach. Jake asks Jim how come he is always so popular with the women. Jim explains:"" I find a big potato and put it down my swim trunks and thats my secret"". A few days later they meet again on the beach and Jake says:"" I tried what you said but all they do is look at me in disgust. Jim relies:"" Yes, but you are supposed to put it in the front, not the back!!""","Ranking: 
3.74 / 38",3.74
"A little boy was sitting on the curb crying and an old man who was passing by came over to him.  Whats the matter, little boy? he asked. Why are you crying?
The little boy said, Im crying because I cant do what the big boys do.
The old man sat down on the curb and cried too.","Ranking: 
2.84 / 107",2.84
"What with all the sadness and trauma going on in the world at this moment,
it is worth reflecting on the death of a very important person which almost
went unnoticed. Larry La Pries, the man who wrote ""The Hokey Pokey"" died peacefully at age 93.
The most traumatic part for his family was getting him into the coffin.
They put his left leg in... and then the trouble started.","Ranking: 
3.79 / 33",3.79
"If you yelled for 8 years, 7 months and 6 days you would have
Produced enough sound energy to heat one cup of coffee. (Hardly seems worth it.)

If you farted consistently for 6 years and 9 months, enough gas is produced to create the energy of an atomic bomb. (Now that's more like it!)

The human heart creates enough pressure when it pumps out to the body to squirt blood 30 feet. (O.M.G.!)

A pig's orgasm lasts 30 minutes.  (In my next life, I want to be a pig.)

A cockroach will live nine days without its head before it starves
to death. (Creepy.) (I'm still not over the pig.)

Banging your head against a wall uses 150 calories an hour. (Do not try this at home... maybe at work.)

The male praying mantis cannot copulate while its head is attached
to its body. The female initiates sex by ripping the male's head off
(""Honey, I'm home. What the....?"")","Ranking: 
4.35 / 20",4.35
"A man standing in line at a check out counter of a grocery store 
was very surprised when a very attractive woman behind him said, 
""Hello!"" Her face was beaming. 
He gave her that ""who are you look,"" and couldn't remember ever 
having seen her before. Then, noticing his look, she figured she had 
made a mistake and apologized. 
""Look,"" she said ""I'm really sorry but when I first saw you, I 
thought you were the father of one of my children,"" and walked out 
of the store. 
The guy was dumbfounded and thought to himself, ""What the hell is 
the world coming to? Here is an attractive woman who can't keep 
track of who fathers her children! "" 
Then he got a little panicky. ""I don't remember her,"" he thought 
but, MAYBE....during one of the wild parties he had been to when 
he was in college, perhaps he did father her child! 
He ran from the store and caught her in the parking lot and asked, 
""Are you the girl I met at a party in college and then we got 
really drunk and had wild crazy sex on the pool table?"" 
 ""No"", she said with a horrified look on her face. ""I'm your son's 
second grade teacher!""","Ranking: 
4.08 / 24",4.08
"At a Harvard- Yale football game a man from Harvard and a man from Yale end up at the urinal together. When the two men finished the man from Harvard headed for the sink while the man from Yale headed for the door. The man from Harvard says, "" At Harvard they teach us to wash our hands after we pee."" The man from Yale replies, ""At Yale they teach us not to pee on our hands.""","Ranking: 
3.92 / 25",3.92
"This guy goes into his barber, and hes all excited.  He says, Im going to go to Rome.
Im flying on Alitalia and staying at the Rome Hilton, and Im going to see the Pope.
The barber says, Ha! Alitalia is a terrible airline, the Rome Hilton is a dump, and when you see the Pope, youll probably be standing in back of about 10,000 people.
So the guy goes to Rome and comes back. His barber asks, How was it?
Great, he says.  Alitalia was a wonderful airline. The hotel was great. And I got the meet the Pope.  
You met the Pope? Said the barber.
I bent down to kiss the Popes ring.
And what did he say?
He said, Where did you get that crummy haircut?","Ranking: 
3.92 / 25",3.92
"A stockbroker is busted for inside trading, convicted, and sent to prison.  As he gets to his cell, his worst fear is there to greet him.  His cellmate is a six-foot-five, three- hundred-pound man, says, you want to be the husband or do you want to be the wife?
The stockbroker weighs the options.  He figures it s better to give than to receive so he says, Ill be the husband.
The six-foot-five, three-hundred-pound sweaty man says,then why dont you be a good 
husband and suck your wifes dick!","Ranking: 
4.21 / 19",4.21
"Managing to pull himself onto the bus early one morning, the drunk stumbled over passengers, knocked over bags and briefcases, and finally fell into a seat beside a prim old woman.  He slumped over her, and she pushed him back.  Mister, she said indignantly.  I hate to say it, but you are going straight to hell!
Startled, the drunk leapt to his feet.  Christ, Im on the wrong bus!","Ranking: 
3.58 / 31",3.58
"~ The Magic Sandals ~ 
This married couple was on holiday in India. They were touring around the marketplace looking at the goods and such, when they passed this small sandal shop. From inside they heard a salesman say, ""You foreigners! Come in. Come into my humble shop."" 

So the married couple walked in. The Indian man said to them ""I have some special sandals I think you would be interested in. They make you wild at sex like great desert camel."" 
Well, the wife was really interested in buying the sandals after what the man claimed, but her husband felt he really didn't need them. The husband asked the man, ""How could sandals make you into a sex freak?""  The salesman replied, ""Just try them on."" 
Well, the husband, after some badgering from his wife, finally gave in, and tried them on. As soon as he slipped them onto his feet, he got this wild look in his eyes, something his wife hadn't seen in many years!!  In the blink of an eye, the husband grabbed the salesman, bent him violently over a table, yanked down his pants, ripped down his own pants, and grabbed a firm hold of the man's thighs. 
The salesman then began screaming, STOP!!! ""YOU HAVE THEM ON DE WRONG FOOT!!!","Ranking: 
4.11 / 19",4.11
"Q: What did the tampon say to the condom?
A: If you break, we are both unemployed!","Ranking: 
3.53 / 30",3.53
"Wife: Oh, come on.
Husband: Leave me alone!
Wife: It won't take long.
Husband: I won't be able to sleep afterwards.
Wife: I can't sleep without it.
Husband: Why do you think of things like this in the middle of the night?
Wife: Because I'm Hot.
Husband: You get hot at the darnedest times.
Wife: If you love me I wouldn't have to beg you.
Husband: If you love me you'd be more considerate.
Wife: You don't love me anymore.
Husband: Yes I do, but let's forget it for tonight.
Wife: (Sob-Sob)
Husband: Alright, I'll do it.
Wife: What's the matter? Need a flashlight?
Husband: I can't find it.
Wife: Oh, for heaven's sake, feel for it!
Husband: There! Are you satisfied?
Wife: Oh, yes, honey.
Husband: Is it up far enough?
Wife: Oh, that's fine.
Husband: Now go to bed and from now on when you want the window open, do it yourself.","Ranking: 
3.80 / 20",3.80
